ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,ARR_DELAY_MEAN,DEP_DELAY_MEAN,DAY_OF_WEEK,FLIGHT_ID
14730,"Louisville, KY",10397,"Atlanta, GA",-7.444444444444445,1.0277777777777777,2,29741
14730,"Louisville, KY",10821,"Baltimore, MD",-2.933333333333333,-0.3333333333333333,3,29749
14730,"Louisville, KY",10821,"Baltimore, MD",-10.928571428571429,-2.9285714285714284,4,29750
14730,"Louisville, KY",11057,"Charlotte, NC",8.642857142857142,13.607142857142858,1,29754
14730,"Louisville, KY",11057,"Charlotte, NC",2.6206896551724137,10.586206896551724,5,29758
14730,"Louisville, KY",11278,"Washington, DC",-9.866666666666667,-1.8,3,29770
14730,"Louisville, KY",11292,"Denver, CO",-2.625,7.875,5,29779
14730,"Louisville, KY",11292,"Denver, CO",-12.5,2.25,7,29781
14730,"Louisville, KY",11298,"Dallas/Fort Worth, TX",5.615384615384615,13.23076923076923,6,29787
14730,"Louisville, KY",11433,"Detroit, MI",17.266666666666666,20.6,3,29791
14730,"Louisville, KY",11433,"Detroit, MI",-4.111111111111111,1.0,7,29795
14730,"Louisville, KY",11618,"Newark, NJ",17.0,18.75,6,29801
14730,"Louisville, KY",12191,"Houston, TX",-6.25,9.0,1,29806
14730,"Louisville, KY",12264,"Washington, DC",14.0,16.0,2,29813
14730,"Louisville, KY",13204,"Orlando, FL",-5.0,-2.5555555555555554,7,29846
14730,"Louisville, KY",13232,"Chicago, IL",10.454545454545455,11.090909090909092,2,29848
14730,"Louisville, KY",13232,"Chicago, IL",-6.909090909090909,-2.4545454545454546,3,29849
14730,"Louisville, KY",13232,"Chicago, IL",-1.4545454545454546,1.9090909090909092,4,29850
14730,"Louisville, KY",13232,"Chicago, IL",-1.5555555555555556,3.0,7,29853
14730,"Louisville, KY",13303,"Miami, FL",1.25,3.75,6,29859
14730,"Louisville, KY",13487,"Minneapolis, MN",-8.0,3.625,5,29865
14730,"Louisville, KY",13930,"Chicago, IL",40.75,42.2,1,29868
14730,"Louisville, KY",14082,"Punta Gorda, FL",58.5,55.5,7,29877
14730,"Louisville, KY",14100,"Philadelphia, PA",-11.5,-1.5,1,29878
14730,"Louisville, KY",14100,"Philadelphia, PA",-16.0,-3.0,2,29879
14730,"Louisville, KY",14100,"Philadelphia, PA",6.5,10.0,7,29884
14730,"Louisville, KY",14107,"Phoenix, AZ",-24.0,1.0,5,29888
14730,"Louisville, KY",14107,"Phoenix, AZ",-22.25,3.25,6,29889
14747,"Seattle, WA",10140,"Albuquerque, NM",-14.8,-8.2,3,29906
14747,"Seattle, WA",10140,"Albuquerque, NM",-10.5,-3.25,5,29908
14747,"Seattle, WA",10423,"Austin, TX",3.6666666666666665,1.75,5,29929
14747,"Seattle, WA",10423,"Austin, TX",4.0,-0.4,6,29930
14747,"Seattle, WA",10693,"Nashville, TN",-8.3,0.3,2,29940
14747,"Seattle, WA",10721,"Boston, MA",33.15,36.55,1,29953
14747,"Seattle, WA",10800,"Burbank, CA",-8.25,1.6666666666666667,4,29963
14747,"Seattle, WA",10821,"Baltimore, MD",-8.2,13.0,7,29973
14747,"Seattle, WA",11057,"Charlotte, NC",-5.866666666666666,-0.9333333333333333,4,29984
14747,"Seattle, WA",11259,"Dallas, TX",-6.833333333333333,13.833333333333334,6,29998
14747,"Seattle, WA",11278,"Washington, DC",-13.5,-4.125,6,30005
14747,"Seattle, WA",11292,"Denver, CO",-7.650793650793651,-1.8253968253968254,5,30011
14747,"Seattle, WA",11292,"Denver, CO",-2.6825396825396823,2.6031746031746033,7,30013
14747,"Seattle, WA",11298,"Dallas/Fort Worth, TX",-7.2894736842105265,-0.3157894736842105,5,30018
14747,"Seattle, WA",11630,"Fairbanks, AK",-9.666666666666666,-3.6666666666666665,2,30036
14747,"Seattle, WA",11638,"Fresno, CA",12.777777777777779,14.0,3,30044
14747,"Seattle, WA",11638,"Fresno, CA",-13.555555555555555,-5.777777777777778,4,30045
14747,"Seattle, WA",11697,"Fort Lauderdale, FL",-4.5,2.625,6,30054
14747,"Seattle, WA",12264,"Washington, DC",38.0,41.285714285714285,7,30076
14747,"Seattle, WA",12266,"Houston, TX",0.3,7.15,7,30083
14747,"Seattle, WA",12339,"Indianapolis, IN",-8.2,5.8,4,30093
14747,"Seattle, WA",12441,"Jackson, WY",-0.5,9.5,6,30099
14747,"Seattle, WA",12478,"New York, NY",-15.222222222222221,-2.8333333333333335,1,30100
14747,"Seattle, WA",12478,"New York, NY",-13.548387096774194,-2.774193548387097,6,30105
14747,"Seattle, WA",12478,"New York, NY",-3.857142857142857,4.885714285714286,7,30106
14747,"Seattle, WA",12523,"Juneau, AK",15.625,19.125,1,30107
14747,"Seattle, WA",12523,"Juneau, AK",-1.2,3.3,4,30110
14747,"Seattle, WA",12523,"Juneau, AK",-1.75,3.25,5,30111
14747,"Seattle, WA",12523,"Juneau, AK",-9.375,1.75,6,30112
14747,"Seattle, WA",12758,"Kona, HI",-9.416666666666666,2.8333333333333335,5,30118
14747,"Seattle, WA",12758,"Kona, HI",-9.916666666666666,4.583333333333333,6,30119
14747,"Seattle, WA",12819,"Ketchikan, AK",-3.8333333333333335,-1.3333333333333333,7,30127
14747,"Seattle, WA",12892,"Los Angeles, CA",7.804878048780488,8.109756097560975,7,30141
14747,"Seattle, WA",12982,"Lihue, HI",-16.916666666666668,1.25,6,30154
14747,"Seattle, WA",13232,"Chicago, IL",-3.3,3.0,4,30173
14747,"Seattle, WA",13303,"Miami, FL",-5.5,-3.6666666666666665,3,30179
14747,"Seattle, WA",13487,"Minneapolis, MN",-3.1666666666666665,3.4166666666666665,3,30193
14747,"Seattle, WA",13487,"Minneapolis, MN",-2.4166666666666665,7.5,6,30196
14747,"Seattle, WA",13495,"New Orleans, LA",-2.0,-3.8,2,30199
14747,"Seattle, WA",13495,"New Orleans, LA",-3.5,-1.0,5,30202
14747,"Seattle, WA",13830,"Kahului, HI",-20.95,0.85,2,30213
14747,"Seattle, WA",13891,"Ontario, CA",1.8,-0.6,6,30231
14747,"Seattle, WA",13930,"Chicago, IL",15.368421052631579,24.605263157894736,6,30238
14747,"Seattle, WA",14107,"Phoenix, AZ",-1.2295081967213115,0.6557377049180327,7,30260
14747,"Seattle, WA",14122,"Pittsburgh, PA",-26.75,5.25,7,30267
14747,"Seattle, WA",14262,"Palm Springs, CA",2.95,2.05,1,30268
14747,"Seattle, WA",14262,"Palm Springs, CA",-0.7894736842105263,-1.631578947368421,7,30274
14747,"Seattle, WA",14492,"Raleigh/Durham, NC",-0.75,-0.125,6,30280
14747,"Seattle, WA",14570,"Reno, NV",-10.0,-2.0,7,30287
14747,"Seattle, WA",14683,"San Antonio, TX",-4.4,2.4,4,30298
14747,"Seattle, WA",14698,"San Luis Obispo, CA",0.0,6.0,7,30314
14747,"Seattle, WA",14771,"San Francisco, CA",2.9347826086956523,4.728260869565218,1,30315
14747,"Seattle, WA",14831,"San Jose, CA",-5.576923076923077,0.25,1,30322
14747,"Seattle, WA",14831,"San Jose, CA",-0.7317073170731707,-1.2439024390243902,6,30327
14747,"Seattle, WA",14869,"Salt Lake City, UT",4.848484848484849,8.454545454545455,6,30334
14747,"Seattle, WA",14893,"Sacramento, CA",-5.928571428571429,-0.9285714285714286,3,30338
14747,"Seattle, WA",14893,"Sacramento, CA",4.473684210526316,4.631578947368421,6,30341
14747,"Seattle, WA",14893,"Sacramento, CA",13.24,15.2,7,30342
14747,"Seattle, WA",14908,"Santa Ana, CA",-1.8666666666666667,-5.033333333333333,6,30348
14761,"Sanford, FL",10408,"Appleton, WI",-3.0,-6.8,4,30383
14761,"Sanford, FL",10431,"Asheville, NC",-17.2,-11.0,2,30387
